[2025-02-17 21:20:42.175] [Global_logger] [info] Logger initialized.
[2025-02-17 21:20:45.748] [Global_logger] [info] stereo_ORB_EXTRACT 9386 us,  
[2025-02-17 21:20:45.801] [Global_logger] [info] stereo_ORB_EXTRACT 8022 us,  
[2025-02-17 21:20:45.854] [Global_logger] [info] stereo_ORB_EXTRACT 7492 us,  
[2025-02-17 21:20:45.908] [Global_logger] [info] stereo_ORB_EXTRACT 7439 us,  
[2025-02-17 21:20:45.967] [Global_logger] [info] stereo_ORB_EXTRACT 10983 us,  
[2025-02-17 21:20:46.017] [Global_logger] [info] stereo_ORB_EXTRACT 7118 us,  
[2025-02-17 21:20:46.077] [Global_logger] [info] stereo_ORB_EXTRACT 11251 us,  
[2025-02-17 21:20:46.130] [Global_logger] [info] stereo_ORB_EXTRACT 9492 us,  
[2025-02-17 21:20:46.182] [Global_logger] [info] stereo_ORB_EXTRACT 7489 us,  
[2025-02-17 21:20:46.240] [Global_logger] [info] stereo_ORB_EXTRACT 9081 us,  
[2025-02-17 21:20:46.296] [Global_logger] [info] stereo_ORB_EXTRACT 8990 us,  
[2025-02-17 21:20:46.354] [Global_logger] [info] stereo_ORB_EXTRACT 10960 us,  
[2025-02-17 21:20:46.407] [Global_logger] [info] stereo_ORB_EXTRACT 10084 us,  
[2025-02-17 21:20:46.458] [Global_logger] [info] stereo_ORB_EXTRACT 7451 us,  
[2025-02-17 21:20:46.514] [Global_logger] [info] stereo_ORB_EXTRACT 9110 us,  
[2025-02-17 21:20:46.568] [Global_logger] [info] stereo_ORB_EXTRACT 7366 us,  
[2025-02-17 21:20:46.626] [Global_logger] [info] stereo_ORB_EXTRACT 8310 us,  
[2025-02-17 21:20:46.682] [Global_logger] [info] stereo_ORB_EXTRACT 10505 us,  
[2025-02-17 21:20:46.735] [Global_logger] [info] stereo_ORB_EXTRACT 9498 us,  
[2025-02-17 21:20:46.786] [Global_logger] [info] stereo_ORB_EXTRACT 6786 us,  
[2025-02-17 21:20:46.846] [Global_logger] [info] stereo_ORB_EXTRACT 10082 us,  
